quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1308078,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 34, Row Spacing: 15"", Air Seeder Model: 1990, Number of Tanks: 1, Frame Type: 3 Section",John Deere,1990
1307988,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4920",John Deere,4920
1306951,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 36, Row Spacing: 10"", Air Seeder Model: 1860",John Deere,1860
1306627,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1870",John Deere,1870
1305897,Air Seeder,"Air Seeder Make: John Deere, Air Seeder Model: 750",John Deere,750
1305598,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4038R, Year: 2016",John Deere,4038R
1305416,Sprayer,"Sprayer Make: Jd, Sprayer Model: 4730, Year: 2010",Jd,4730
1305165,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 7.5"", Air Seeder Model: 1890, Frame Type: 3 Section, Variable Rate Motor Brand: John Deere, # of VR Motors: 2",John Deere,1890
1305060,Air Seeder,"Air Seeder Make: John Deere, Air Seeder Model: 1890, Frame Type: 3 Section, Variable Rate Motor Brand: John Deere, # of VR Motors: 2",John Deere,1890
1304756,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: N542c",John Deere,N542c
1303169,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6, Frame Type: 3 Section, Variable Rate Motor Brand: John Deere",John Deere,1890
1303130,Air Seeder,"Air Seeder Make: Great Plains, Number of Rows: 48, Air Seeder Model: 7600, Number of Tanks: ?",Great Plains,7600
1301398,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 24, Row Spacing: 15"", Air Seeder Model: 1990, Number of Ranks: 1, Number of Rock Shafts: 3, Frame Type: 3 Section",John Deere,1990
1300510,Air Seeder,"Air Seeder Make: Other:Flexi-Coil, Number of Rows: 44, Row Spacing: Other:9, Air Seeder Model: 5000, Number of Towers: 4",Other,5000
1300361,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 54, Row Spacing: 10"", Air Seeder Model: 1890, Year: 2014, Number of Towers: 8, Number of Tanks: 3, Number of Ranks: 2, Number of Rock Shafts: 10, Frame Type: 5 Section, Variable Rate Motor Brand: John Deere, # of VR Motors: 3, GPS Model: Case IH , Tractor Make: John Deere, Tractor Model: STX620",John Deere,1890
1300336,Air Seeder,"Air Seeder Make: Other:Flexi-Coil, Number of Rows: 61, Row Spacing: Other:9, Air Seeder Model: 5000, Number of Towers: 6",Other,5000
1300055,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1990",John Deere,1990
1299321,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 52, Row Spacing: 10"", Air Seeder Model: 1895",John Deere,1895
1299204,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 96, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 10, Frame Type: 5 Section, Variable Rate Motor Brand: John Deere, # of VR Motors: 2, GPS Model: 6000, Tractor Make: John Deere, Tractor Model: 9620RX",John Deere,6000
1298758,Air Seeder,"Air Seeder Make: CNH, Number of Rows: 16, Row Spacing: 30"", Air Seeder Model: NPX 5310, Year: 2009, Number of Towers: 8, Number of Tanks: 3, Number of Ranks: 1, Number of Rock Shafts: 1, Frame Type: 5 Section, Variable Rate Motor Brand: Other:Morris, # of VR Motors: 3, GPS Model: John Deere, Tractor Make: John Deere, Tractor Model: 9620R",CNH,NPX 5310
1298170,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 7.5"", Air Seeder Model: 1990 ccs",John Deere,1990 ccs
1297498,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Towers: 4",John Deere,1890
1297264,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 7.5"", Air Seeder Model: 1560, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 2",John Deere,1560
1297129,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Air Seeder Model: 1990, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6, Frame Type: 3 Section, GPS Model: AgLeader",John Deere,1990
1297109,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 15"", Air Seeder Model: 1990, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6, Frame Type: 3 Section, GPS Model: AgLeader",John Deere,1990
1296780,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 56, Air Seeder Model: 1890, Number of Towers: 7, Frame Type: 3 Section",John Deere,1890
1296326,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890, Year: 2021, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6",John Deere,1890
1296277,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 7.5"", Air Seeder Model: 1590",John Deere,1590
1295906,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1990, Frame Type: 3 Section",John Deere,1990
1295675,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Air Seeder Model: 1990, Variable Rate Motor Brand: Precision Planting, # of VR Motors: 2",John Deere,1990
1295674,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Air Seeder Model: 1990, Year: 2014, Variable Rate Motor Brand: Precision Planting, # of VR Motors: 2",John Deere,1990
1295556,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Air Seeder Model: 1890, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 3, Number of Rock Shafts: 10",John Deere,1890
1295259,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 7.5"", Air Seeder Model: 1890",John Deere,1890
1295000,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 84, Row Spacing: 7.5"", Air Seeder Model: 1780, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 6",John Deere,1780
1294915,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 36, Row Spacing: 10"", Air Seeder Model: 1890, Tractor Make: John Deere",John Deere,1890
1294383,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890",John Deere,1890
1294270,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 80, Air Seeder Model: 1890, Number of Towers: 8, Tractor Make: John Deere, Tractor Model: 9410",John Deere,1890
1293643,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 50, Air Seeder Model: 1890, Year: 2021",John Deere,1890
1293642,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 16, Row Spacing: 15"", Air Seeder Model: 1590, Number of Ranks: 2, Number of Rock Shafts: 2",John Deere,1590
1293641,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 16, Row Spacing: 15"", Air Seeder Model: 1590",John Deere,1590
1293021,Air Seeder,"Air Seeder Make: Amity, Number of Rows: 98, Row Spacing: 7.5"", Air Seeder Model: Concord, Year: 2018, Number of Towers: 8, Number of Tanks: 3, Number of Ranks: 2, Number of Rock Shafts: NA, Frame Type: 5 Section, Variable Rate Motor Brand: Agco, # of VR Motors: 3, GPS Model: JD, Tractor Make: John Deere, Tractor Model: 9620RX",Amity,Concord
1292223,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 7.5"", Air Seeder Model: 1590, Number of Ranks: 2, Number of Rock Shafts: 2, Frame Type: Single Section",John Deere,1590
1292214,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Air Seeder Model: 1590, Number of Ranks: 2, Number of Rock Shafts: 2, Frame Type: Single Section",John Deere,1590
1291076,Air Seeder,"Air Seeder Make: Other:Salford, Row Spacing: 7.5"", Air Seeder Model: 520, Frame Type: 3 Section, Variable Rate Motor Brand: Other:none, # of VR Motors: Other:none, GPS Model: Starfire, Tractor Make: John Deere",Other,520
1291029,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 10"", Air Seeder Model: 1990, Number of Ranks: 1, Number of Rock Shafts: 3",John Deere,1990
1291028,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Air Seeder Model: 1990, Number of Ranks: 1, Number of Rock Shafts: 3",John Deere,1990
1290991,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 10"", Air Seeder Model: 1990",John Deere,1990
1290551,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 18, Row Spacing: 10"", Air Seeder Model: 1590",John Deere,1590
1290366,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 80, Air Seeder Model: 1890, Number of Towers: 8",John Deere,1890
1290223,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Towers: 8, Number of Ranks: 2, Number of Rock Shafts: 6",John Deere,1890
1289855,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Towers: 8, Number of Tanks: 2, Number of Ranks: 3, Number of Rock Shafts: 10",John Deere,1890
1288983,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1890, Number of Towers: 6, Number of Tanks: 2, Number of Ranks: 2, GPS Model: JD, Tractor Make: John Deere, Tractor Model: 8770",John Deere,1890
1288949,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 50, Row Spacing: 10"", Air Seeder Model: 1910, Number of Towers: 6, Number of Tanks: 2, Number of Ranks: 2, Number of Rock Shafts: 0, Frame Type: 3 Section, GPS Model: JD2630, Tractor Make: John Deere",John Deere,1910
1288793,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Row Spacing: 7.5"", Air Seeder Model: 1890+1910, Number of Towers: 8, Number of Ranks: 6, Number of Rock Shafts: 6, Frame Type: 3 Section",John Deere,1890
1288525,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 80, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Towers: 8",John Deere,1890
1288453,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 36, Row Spacing: 10"", Air Seeder Model: 1990, Year: 2010",John Deere,1990
1288377,Air Seeder,"Air Seeder Make: Other:Amazone, Number of Rows: 72, Row Spacing: Other:6,53"", Air Seeder Model: Citan 12001-?, Year: 2022, Number of Towers: 2, Number of Tanks: 1, Frame Type: Single Section",Other,Citan 12001
1287872,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 49, Air Seeder Model: 1890, Number of Towers: 6, Number of Tanks: 2, Number of Ranks: 2, GPS Model: JD, Tractor Make: John Deere, Tractor Model: 8770",John Deere,1890
1287295,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 66, Air Seeder Model: 737, Year: 1994, Number of Towers: 6, Number of Tanks: 2",John Deere,737
1210127,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 24, Row Spacing: 7.5"", Air Seeder Model: 1890, Number of Towers: 2, Number of Tanks: 2, Number of Ranks: 6",John Deere,1890
