id,profileName,profileData,make,model,equipment_type
18464,John Deere - JD7100,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""John Deere - JD7100"",""cmbMake"":""John Deere"",""cmbModel"":""JD7100"",""cmbModelYear"":""1990"",""cmbFrame"":""Integral"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""CompuTrak"",""cmbMeterType"":""Finger-Precision Planting"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""A"",""cmbRowConfiguration"":""8"",""cmbRowSpacing"":""30\"""",""txtRows"":""8"",""txtRegArmRow"":""8"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":"""",""cmbGPSMake"":""AgLeader"",""cmbGPSModel"":""AgGPS1000"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""""}",John Deere,JD7100,Planter
18463,John Deere - JD7000,"{""quote_id"":"""",""last_tab"":""6"",""customer_id"":""199377"",""profileName"":""John Deere - JD7000"",""cmbMake"":""John Deere"",""cmbModel"":""JD7000"",""cmbModelYear"":""1980"",""cmbFrame"":""Drawn folding tongue < 20"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""CompuTrak"",""cmbMeterType"":""Finger-JD"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""A"",""cmbRowConfiguration"":""8"",""cmbRowSpacing"":""30\"""",""txtRows"":""8"",""txtRegArmRow"":""8"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""New Holland"",""cmbTractorModel"":""6050 Plus"",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",John Deere,JD7000,Planter
18462,Kinze - 3000 dodde,"{""quote_id"":"""",""last_tab"":""0"",""customer_id"":""1104"",""profileName"":""Kinze - 3000 dodde"",""orig_profileName"":""Kinze - 3000 dodde"",""saveAs"":"""",""cmbMake"":""Kinze"",""cmbModel"":""3000"",""cmbModelYear"":""2014"",""cmbFrame"":""2 tube tongue"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""M"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""30\"""",""txtRows"":""12"",""txtRegArmRow"":""12"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""7730"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""FMX"",""cmbGPSAccuracy"":""Omnistar XP"",""cmbRadar"":""None""}",Kinze,3000,Planter
18458,White - 9524,"{""quote_id"":"""",""last_tab"":""4"",""profileName"":""White - 9524"",""cmbMake"":""White"",""cmbModel"":""9524"",""cmbModelYear"":""2018"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SM400SE"",""cmbMeterType"":""Pos+ Air White"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""Q"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",White,9524,Planter
18453,John Deere - DB60,"{""quote_id"":""88552"",""last_tab"":""0"",""customer_id"":""199377"",""profileName"":""John Deere - DB60"",""orig_profileName"":""John Deere - DB60"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""DB60"",""cmbModelYear"":""2014"",""cmbFrame"":""DB60"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-JD Cell"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""I"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""John Deere"",""ClutchSections"":""24"",""VRBrand"":""John Deere"",""VRMotors"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""9220"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""SF2"",""cmbRadar"":""None"",""chkSeedSense"":""1""}",John Deere,DB60,Planter
18450,John Deere - JD1790,"{""quote_id"":""88520"",""last_tab"":""0"",""customer_id"":""35292"",""profileName"":""John Deere - JD1790"",""orig_profileName"":""John Deere - JD1790"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1790"",""cmbModelYear"":""2007"",""cmbFrame"":""40 or 60ft wide front fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Vac-eSet"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""D"",""cmbRowConfiguration"":""16/31"",""cmbRowSpacing"":""15\"" Split Row"",""txtRows"":""31"",""txtRegArmRow"":""31"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""275"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""FMX"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""Case MX & STX"",""chkeSet"":""1""}",John Deere,JD1790,Planter
18441,Kinze - 3600,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Kinze - 3600"",""cmbMake"":""Kinze"",""cmbModel"":""3600"",""cmbModelYear"":""2010"",""cmbFrame"":""Twinline 40ft Bar"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""31"",""cmbRowSpacing"":""15\"""",""txtRows"":""31"",""txtRegArmRow"":""31"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",Kinze,3600,Planter
18440,Kinze - 2500,"{""quote_id"":"""",""last_tab"":""5"",""profileName"":""Kinze - 2500"",""cmbMake"":""Kinze"",""cmbModel"":""2500"",""cmbModelYear"":""1996"",""cmbFrame"":""Twinline"",""cmbDriveSys"":"""",""txtMonitor"":""KPM II"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""15"",""cmbRowSpacing"":""15\"""",""txtRows"":""15"",""txtRegArmRow"":""15"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""Fendt"",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",Kinze,2500,Planter
18436,Kinze - 3650 rnolting,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Kinze - 3650 rnolting"",""cmbMake"":""Kinze"",""cmbModel"":""3650"",""cmbModelYear"":""2012"",""cmbFrame"":""Twinline 30ft Bar"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Precision Planting"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""30\"""",""txtRows"":""12"",""txtRegArmRow"":""12"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":"""",""txtDisconnectSections"":"""",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""7730"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""John Deere 30 or R Series"",""chkSeedSense"":""1"",""chkvSet"":""1"",""chkFieldView"":""1""}",Kinze,3650,Planter
18433,John Deere - DB90,"{""quote_id"":""88481"",""last_tab"":""0"",""customer_id"":""13681"",""profileName"":""John Deere - DB90"",""orig_profileName"":""John Deere - DB90"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""DB90"",""cmbModelYear"":""2014"",""cmbFrame"":""DB90"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-JD Cell"",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""I"",""cmbRowConfiguration"":""36"",""cmbRowSpacing"":""30\"""",""txtRows"":""36"",""txtRegArmRow"":""36"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""John Deere"",""ClutchSections"":""36"",""VRBrand"":""John Deere"",""VRMotors"":""2"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8360R"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""John Deere 30 or R Series""}",John Deere,DB90,Planter
