id,profileName,profileData,make,model,equipment_type
18430,Case IH - 1265,"{""quote_id"":""88453"",""last_tab"":""0"",""customer_id"":""35279"",""profileName"":""Case IH - 1265"",""orig_profileName"":""Case IH - 1265"",""saveAs"":"""",""cmbMake"":""Case IH"",""cmbModel"":""1265"",""cmbModelYear"":""2017"",""cmbFrame"":""Drawn Center Trailing"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""O"",""cmbRowConfiguration"":""36"",""cmbRowSpacing"":""22\"""",""txtRows"":""36"",""txtRegArmRow"":""36"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Yetter"",""cmbRCModel"":""2967-035(Short Bracket)"",""cmbFloater"":""1.75\"" (4 Bolt)"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""2"",""ClutchBrand"":""Case IH"",""ClutchSections"":""36"",""VRBrand"":""Case IH"",""VRMotors"":""3"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""385 - HD"",""cmbGPSMake"":""CaseIH"",""cmbGPSModel"":""FM1000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""Case MX & STX""}",Case IH,1265,Planter
18429,John Deere - JD1700,"{""quote_id"":""88443"",""last_tab"":""0"",""customer_id"":""233"",""profileName"":""John Deere - JD1700"",""orig_profileName"":""John Deere - JD1700"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1700"",""cmbModelYear"":""2012"",""cmbFrame"":""Rigid"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""CompuTrak"",""cmbMeterType"":""Vac-JD Cell"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""J"",""cmbRowConfiguration"":""6"",""cmbRowSpacing"":""38\"""",""txtRows"":""6"",""txtRegArmRow"":""6"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8295R"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",John Deere,JD1700,Planter
18427,John Deere - JD1770 RDS,"{""quote_id"":"""",""last_tab"":""6"",""customer_id"":""181214"",""profileName"":""John Deere - JD1770 RDS"",""orig_profileName"":""John Deere - JD1770"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1770"",""cmbModelYear"":""2014"",""cmbFrame"":""40 or 60ft wide front fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Finger-JD"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""H"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8360R"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""John Deere 30 or R Series""}",John Deere,JD1770,Planter
18426,John Deere - JD7200,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""John Deere - JD7200"",""cmbMake"":""John Deere"",""cmbModel"":""JD7200"",""cmbModelYear"":""1995"",""cmbFrame"":""40 or 60ft wide front fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-eSet"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""E"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8400"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""SF1"",""cmbRadar"":""John Deere 00, 10 or 20 Series"",""chkSeedSense"":""1"",""chkvSet"":""1"",""chkFieldView"":""1"",""chkSRM"":""1"",""chkvDrive"":""1""}",John Deere,JD7200,Planter
18423,Case IH - 1245,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Case IH - 1245"",""cmbMake"":""Case IH"",""cmbModel"":""1245"",""cmbModelYear"":""2015"",""cmbFrame"":""Drawn Single/Dual Frame"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""N"",""cmbRowConfiguration"":""12/23"",""cmbRowSpacing"":""15\"" Split Row"",""txtRows"":""23"",""txtRegArmRow"":""12"",""txtLongArmRow"":""11"",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":"""",""txtDisconnectSections"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",Case IH,1245,Planter
18422,DeWeerdt Poultry Kinze - 3400,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""DeWeerdt Poultry Kinze - 3400"",""cmbMake"":""Kinze"",""cmbModel"":""3400"",""cmbModelYear"":""2010"",""cmbFrame"":""Twinline"",""cmbDriveSys"":"""",""txtMonitor"":""Kinze Vision"",""cmbMeterType"":""Finger-Precision Planting"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""16/32"",""cmbRowSpacing"":""15\"" Split Row"",""txtRows"":""32"",""txtRegArmRow"":""32"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",Kinze,3400,Planter
18421,Kinze - 2200,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Kinze - 2200"",""cmbMake"":""Kinze"",""cmbModel"":""2200"",""cmbModelYear"":""1995"",""cmbFrame"":""Wing Fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""30\"""",""txtRows"":""12"",""txtRegArmRow"":""12"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":"""",""chkSeedSense"":""1""}",Kinze,2200,Planter
18412,John Deere - JD1750,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""John Deere - JD1750"",""cmbMake"":""John Deere"",""cmbModel"":""JD1750"",""cmbModelYear"":""2002"",""cmbFrame"":""Drawn folding tongue < 20"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""CompuTrak"",""cmbMeterType"":""Vac-JD Cell"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""J"",""cmbRowConfiguration"":""6"",""cmbRowSpacing"":""30\"""",""txtRows"":""6"",""txtRegArmRow"":""6"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Yetter"",""cmbRCModel"":"""",""cmbFloater"":"""",""chkFMFertCoulter"":""1"",""cmbCoulterType"":""optJD"",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":"""",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",John Deere,JD1750,Planter
18409,Case IH - 1255,"{""quote_id"":""88374"",""last_tab"":""0"",""customer_id"":""1366"",""profileName"":""Case IH - 1255"",""orig_profileName"":""Case IH - 1255"",""saveAs"":"""",""cmbMake"":""Case IH"",""cmbModel"":""1255"",""cmbModelYear"":""2013"",""cmbFrame"":""2pt Center Trailing"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""N"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Martin"",""cmbRCModel"":""WA1360BCIH"",""cmbFloater"":""1.75\"" (4 Bolt)"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""305"",""cmbGPSMake"":""CaseIH"",""cmbGPSModel"":""FM1000"",""cmbGPSAccuracy"":""Omnistar XP"",""cmbRadar"":""Case MX & STX""}",Case IH,1255,Planter
18408,Case IH - 1260,"{""quote_id"":"""",""last_tab"":""5"",""profileName"":""Case IH - 1260"",""cmbMake"":""Case IH"",""cmbModel"":""1260"",""cmbModelYear"":""2012"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""N"",""cmbRowConfiguration"":""32"",""cmbRowSpacing"":""30\"""",""txtRows"":""32"",""txtRegArmRow"":""32"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""VRBrand"":""Case IH"",""VRMotors"":""2"",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""335"",""cmbGPSMake"":""CaseIH"",""cmbGPSModel"":""FM1000"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""None""}",Case IH,1260,Planter
18404,White - 8122,"{""quote_id"":"""",""last_tab"":""2"",""profileName"":""White - 8122"",""cmbMake"":""White"",""cmbModel"":""8122"",""cmbModelYear"":""1994"",""cmbFrame"":""Vertical Fold"",""cmbDriveSys"":"""",""txtMonitor"":""Dickey-John"",""cmbMeterType"":"""",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""R"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""30\"""",""txtRows"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":"""",""chkSeedSense"":""1""}",White,8122,Planter
18400,JB Farms - JD1760NT,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""JB Farms - JD1760NT"",""cmbMake"":""John Deere"",""cmbModel"":""JD1760NT"",""cmbModelYear"":""2010"",""cmbFrame"":""Wing Fold"",""cmbDriveSys"":"""",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Finger-JD"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""J"",""cmbRowConfiguration"":""8"",""cmbRowSpacing"":""30\"""",""txtRows"":""8"",""txtRegArmRow"":""8"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",John Deere,JD1760NT,Planter
18395,John Deere - JD1720,"{""quote_id"":""88261"",""last_tab"":""0"",""customer_id"":""153247"",""profileName"":""John Deere - JD1720"",""orig_profileName"":""John Deere - JD1720"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1720"",""cmbModelYear"":""2013"",""cmbFrame"":""Stack Fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""SeedStar"",""cmbMeterType"":""Vac-eSet"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""J"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8230"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""None""}",John Deere,JD1720,Planter
18394,John Deere - DB44,"{""quote_id"":""88256"",""last_tab"":""3"",""customer_id"":""189341"",""profileName"":""John Deere - DB44"",""orig_profileName"":""John Deere - DB44"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""DB44"",""cmbModelYear"":""2013"",""cmbFrame"":""DB44"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SeedStar"",""cmbMeterType"":"""",""cmbMeterDrive"":""ProShaft"",""HopperCenFill"":""Mini"",""DownforceSystem"":""I"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""20\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Yetter"",""cmbRCModel"":""2967-029(JD7200, 1700)"",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":"""",""chkSeedSense"":""1"",""chkAirForce"":""1""}",John Deere,DB44,Planter
18392,Kinze - DF,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Kinze - DF"",""cmbMake"":""Kinze"",""cmbModel"":""DF"",""cmbModelYear"":""1988"",""cmbFrame"":""Rigid Mount"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""7"",""cmbRowSpacing"":""19\"""",""txtRows"":""7"",""txtRegArmRow"":""7"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Yetter"",""cmbRCModel"":""2967-035(JD7000, White)"",""cmbFloater"":""3.5\"" (4 Bolt)"",""chkFMFertCoulter"":""1"",""cmbCoulterType"":""OptO"",""cmbCoulterType_other"":""Kinze"",""mcOpts"":""3"",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":""Raven"",""cmbGPSModel"":""Cruizer"",""cmbGPSAccuracy"":""Omnistar XP"",""cmbRadar"":""""}",Kinze,DF,Planter
18390,White - 8816,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""White - 8816"",""cmbMake"":""White"",""cmbModel"":""8816"",""cmbModelYear"":""2013"",""cmbFrame"":""Front Fold NT"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""SM400SE"",""cmbMeterType"":""Pos+ Air White"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""Q"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Martin"",""cmbRCModel"":""C125MTR-81(White)"",""cmbFloater"":""3.5\"" (4 Bolt)"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":""Other"",""txtDisconnectSections"":""2"",""VRBrand"":""White"",""VRMotors"":""2"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""4640"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",White,8816,Planter
18387,White - 8516,"{""quote_id"":""88214"",""last_tab"":""6"",""customer_id"":""28640"",""profileName"":""White - 8516"",""orig_profileName"":""White - 8516"",""saveAs"":"""",""cmbMake"":""White"",""cmbModel"":""8516"",""cmbModelYear"":""2015"",""cmbFrame"":""Front Fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Pos+ Air White"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""Q"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""Other"",""cmbRCModel"":""Other"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""New Holland"",""cmbTractorModel"":""275"",""cmbGPSMake"":""Other"",""cmbGPSModel"":""Other"",""cmbGPSAccuracy"":""Omnistar HP"",""cmbRadar"":""None""}",White,8516,Planter
18385,Kinze - 2600 rolling aces,"{""quote_id"":""88187"",""last_tab"":""3"",""customer_id"":""741"",""profileName"":""Kinze - 2600 rolling aces"",""orig_profileName"":""Kinze - 2600 rolling aces"",""saveAs"":"""",""cmbMake"":""Kinze"",""cmbModel"":""2600"",""cmbModelYear"":""2001"",""cmbFrame"":""Twinline 40ft Bar"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Kinze"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":""Kinze"",""txtDisconnectSections"":""2"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8320"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire 3000"",""cmbGPSAccuracy"":""SF1"",""cmbRadar"":""John Deere 00, 10 or 20 Series""}",Kinze,2600,Planter
18380,White - 9824,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""White - 9824"",""cmbMake"":""White"",""cmbModel"":""9824"",""cmbModelYear"":""2013"",""cmbFrame"":""Front Fold NT"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Pos+ Air White"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""R"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":""""}",White,9824,Planter
18379,Frizon 1,"{""quote_id"":""88159"",""last_tab"":""0"",""customer_id"":""195828"",""profileName"":""Frizon 1"",""orig_profileName"":""Frizon 1"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1765NT"",""cmbModelYear"":""2014"",""cmbFrame"":""Wing Fold"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""Dickey-John"",""cmbMeterType"":""Vac-JD Cell"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""D"",""cmbRowConfiguration"":""24"",""cmbRowSpacing"":""30\"""",""txtRows"":""24"",""txtRegArmRow"":""24"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""8345RT"",""cmbGPSMake"":""John Deere"",""cmbGPSModel"":""StarFire ITC"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""Dickey-John""}",John Deere,JD1765NT,Planter
18372,Case IH - 1230,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Case IH - 1230"",""cmbMake"":""Case IH"",""cmbModel"":""1230"",""cmbModelYear"":""2013"",""cmbFrame"":""Stackbar"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""N"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""38\"""",""txtRows"":""12"",""txtRegArmRow"":""12"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""305"",""cmbGPSMake"":""Trimble"",""cmbGPSModel"":""FMX"",""cmbGPSAccuracy"":""RTK"",""cmbRadar"":""None""}",Case IH,1230,Planter
18367,Kinze - 3200,"{""quote_id"":"""",""last_tab"":""1"",""profileName"":""Kinze - 3200"",""cmbMake"":""Kinze"",""cmbModel"":""3200"",""cmbModelYear"":""2011"",""cmbFrame"":""Wing Fold"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""KPM III"",""cmbMeterType"":""Finger-Precision Planting"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""1.6 Bu."",""DownforceSystem"":""K"",""cmbRowConfiguration"":""12"",""cmbRowSpacing"":""30\"""",""txtRows"":""12"",""txtRegArmRow"":""12"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":""Kinze"",""txtDisconnectSections"":""2"",""cmbTractorMake"":"""",""cmbTractorModel"":"""",""cmbGPSMake"":"""",""cmbGPSModel"":"""",""cmbGPSAccuracy"":"""",""cmbRadar"":"""",""chkSeedSense"":""1"",""chkFirmers"":""1""}",Kinze,3200,Planter
18365,Randy Miller - JD1780,"{""quote_id"":""88060"",""last_tab"":""0"",""customer_id"":""120178"",""profileName"":""Randy Miller - JD1780"",""orig_profileName"":""Randy Miller - JD1780"",""saveAs"":"""",""cmbMake"":""John Deere"",""cmbModel"":""JD1780"",""cmbModelYear"":""2014"",""cmbFrame"":""Drawn folding tongue < 20"",""cmbDriveSys"":""Ground Drive"",""txtMonitor"":""CompuTrak"",""cmbMeterType"":""Finger-JD"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""3.0 Bu."",""DownforceSystem"":""I"",""cmbRowConfiguration"":""6/11"",""cmbRowSpacing"":""15\"" Split Row"",""txtRows"":""11"",""txtRegArmRow"":""11"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":""None"",""cmbRCModel"":""None"",""cmbFloater"":""None"",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""3"",""cmbTractorMake"":""John Deere"",""cmbTractorModel"":""4650"",""cmbGPSMake"":""AgLeader"",""cmbGPSModel"":""1500"",""cmbGPSAccuracy"":""Waas"",""cmbRadar"":""None""}",John Deere,JD1780,Planter
18360,Case IH - 1240,"{""quote_id"":"""",""last_tab"":""6"",""profileName"":""Case IH - 1240"",""cmbMake"":""Case IH"",""cmbModel"":""1240"",""cmbModelYear"":""2001"",""cmbFrame"":""Pivot Transport"",""cmbDriveSys"":""Hydraulic"",""txtMonitor"":""600/700/Universal"",""cmbMeterType"":""Vac-CNH"",""cmbMeterDrive"":""Chain"",""HopperCenFill"":""Mini"",""DownforceSystem"":""N"",""cmbRowConfiguration"":""16"",""cmbRowSpacing"":""30\"""",""txtRows"":""16"",""txtRegArmRow"":""16"",""txtLongArmRow"":"""",""txt20PA"":"""",""txt24PA"":"""",""cmbRCMake"":"""",""cmbRCModel"":"""",""cmbFloater"":"""",""cmbCoulterType"":"""",""cmbCoulterType_other"":"""",""mcOpts"":""1"",""cmbDisconnectBrand"":"""",""txtDisconnectSections"":"""",""VRBrand"":"""",""VRMotors"":"""",""cmbTractorMake"":""Case IH"",""cmbTractorModel"":""255"",""cmbGPSMake"":""None"",""cmbGPSModel"":""None"",""cmbGPSAccuracy"":""None"",""cmbRadar"":""Case MX & STX""}",Case IH,1240,Planter
